bmi_percentile,physical_activity_days_code,computer_use_code,sleep_code,sex_code,age_code,survey_weight,physical_activity_days,computer_use_hours,sleep_hours,female,sex_label,age_years_approx
77.43318673,3.0,3.0,4.0,2.0,4.0,0.3252,2.0,1.0,7.0,1.0,Female,15.0
31.08786145,5.0,1.0,4.0,2.0,4.0,0.3252,4.0,0.0,7.0,1.0,Female,15.0
52.41472276,6.0,4.0,2.0,2.0,3.0,0.176,5.0,2.0,5.0,1.0,Female,14.0
51.05664155,3.0,3.0,4.0,1.0,6.0,0.2337,2.0,1.0,7.0,0.0,Male,17.0
47.49270385,2.0,5.0,4.0,1.0,6.0,0.2337,1.0,3.0,7.0,0.0,Male,17.0
87.32319147,4.0,5.0,5.0,1.0,6.0,0.1811,3.0,3.0,8.0,0.0,Male,17.0
66.84791246,5.0,5.0,4.0,2.0,6.0,0.2744,4.0,3.0,7.0,1.0,Female,17.0
96.0698293,7.0,5.0,3.0,2.0,7.0,0.2744,6.0,3.0,6.0,1.0,Female,18.0
96.53495056,1.0,2.0,3.0,2.0,7.0,0.2744,0.0,0.5,6.0,1.0,Female,18.0
72.59307595,2.0,5.0,6.0,2.0,7.0,0.2744,1.0,3.0,9.0,1.0,Female,18.0
57.23154694,3.0,5.0,3.0,2.0,7.0,0.2744,2.0,3.0,6.0,1.0,Female,18.0
96.66907244,1.0,1.0,5.0,2.0,7.0,0.2744,0.0,0.0,8.0,1.0,Female,18.0
95.06926956,6.0,3.0,4.0,2.0,6.0,0.2744,5.0,1.0,7.0,1.0,Female,17.0
95.67864261,8.0,2.0,6.0,2.0,6.0,0.2744,7.0,0.5,9.0,1.0,Female,17.0
7.539064645,1.0,3.0,5.0,2.0,7.0,0.2744,0.0,1.0,8.0,1.0,Female,18.0
65.88575167,8.0,2.0,4.0,1.0,6.0,0.2495,7.0,0.5,7.0,0.0,Male,17.0
99.25075881,2.0,5.0,3.0,1.0,6.0,0.2495,1.0,3.0,6.0,0.0,Male,17.0
98.60384523,6.0,3.0,4.0,2.0,6.0,0.2744,5.0,1.0,7.0,1.0,Female,17.0
95.5627807,8.0,3.0,7.0,2.0,5.0,0.2819,7.0,1.0,10.0,1.0,Female,16.0
93.82384404,4.0,6.0,4.0,2.0,6.0,0.2819,3.0,4.0,7.0,1.0,Female,17.0
